Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkArcheryRank5Desc,progression,perk Agi,,,Ranger,,Ranger,Cazador,Rôdeur,Sagittario,レンジャー,레인저,Leśnik,Patrulheiro,Егерь,Korucu,护林员,遊俠,Cazador
perkArcheryRank5LongDesc,progression,perk Agi,,,"You have mastered archery and are now a ranger. Deal 50% more damage, 50% faster aim, draw and reload with bows, Craft Compound Bows.",,"Du hast das Bogenschießen gemeistert und bist jetzt ein Ranger. Du verursachst 50 % mehr Schaden und bist 50 % schneller beim Zielen, Spannen und Nachladen von Bögen.","Has dominado la arquería y ahora eres un cazador. Inflige un 50 % más de daño, un 50 % más rápido, apunta, desenfunda y recarga con arcos.","Vous maîtrisez toutes les ficelles du tir à l'arc, et êtes désormais un rôdeur accompli. Vous infligez 50 % de dégâts supplémentaires, visez 50 % plus vite, et chargez votre arc immédiatement en le dégainant.","Ormai sei un sagittario e hai la piena padronanza del tuo arco. Infliggi 50% di danni in più, prendi la mira più velocemente del 50% e ricarichi l'arco più velocemente.",アーチェリーをマスターしたあなたはレンジャーになりました。+50%のダメージを与え、照準速度が50%アップし、矢でリロードが可能。,"궁도를 마스터한 당신은 이제 진정한 레인저입니다. 50% 추가 대미지, 50% 더 빠른 활 조준, 겨누기, 재장전이 가능합니다.","Udało ci się do mistrzostwa opanować łucznictwo i zasłużyć na miano leśnika. Zadawaj 50% więcej obrażeń, celuj, naciągaj i zakładaj strzały 50% szybciej.","Você dominou a arquearia e agora é um patrulheiro. Cause 50% mais dano, além de mirar, sacar e recarregar com arcos 50% mais rápído.","Вы освоили стрельбу из лука, теперь вы — егерь. Вы наносите на 50% больше урона, на 50% быстрее прицеливаетесь, натягиваете тетиву и перезаряжаете лук.","Okçulukta usta sayılacak bir düzeye geldin ve korucu oldun. Yaylarla %50 daha fazla hasar ver, %50 daha hızlı nişan al, ger ve doldur.",你已经精通了弓术，现在是一名护林员了。造成的伤害增加50%，弓的瞄准、抽箭与重装速度加快50%。,你精於箭術，現在是一名遊俠。拉弓和裝弓增加 50% 的傷害值和 50% 的瞄準速度。,"Has dominado la arquería y ahora eres un cazador. Inflige un 50 % más de daño, un 50 % más rápido, apunta, desenfunda y recarga con arcos."
perkDeepCutsDesc,progression,perk Agi,,,Specialize in using bladed weapons like knives or machetes (not axes) to bleed your foes dry.,,Spezialisiere dich auf den Umgang mit Klingenwaffen wie Messer und Macheten (keine Äxte) und lasse deine Feinde ausbluten.,Especialízate en usar armas blancas como cuchillos o machetes (no hachas) para desangrar a tus enemigos.,"Spécialisez-vous dans l'usage d'armes tranchantes, telles que les couteaux et les machettes (pas les haches), et saignez vos ennemis comme des bêtes.",Specializzati nell'uso delle armi appuntite come i coltelli o i machete (non le asce) per dissanguare i tuoi nemici.,ナイフやマチェーテ（斧を除く）などの刃物を使用して、敵を流血させる能力に特化しましょう。,나이프와 마체테 (도끼 제외) 이용과 같은 날붙이 무기에 특화되어 적들의 피를 말려버립니다.,"Wyspecjalizuj się w walce bronią ostrą, np. nożami lub maczetami (nie dotyczy siekier), i zadawaj krwawiące rany.","Especialize-se em usar armas cortantes, como facas ou facões (não machados), para sangrar seus inimigos até a morte.","Используйте холодное оружие, например ножи или мачете (но не топоры), чтобы потрошить врагов.","Bıçak veya pala gibi keskin silahların (baltalar hariç) kullanımında uzmanlaş, düşmanların kan kaybından ölsün.",专精于使用匕首或是砍刀这类刀刃武器，让你的敌人血流不止而死吧。,擅長使用刀或砍刀（不是斧頭）等帶刃的武器讓敵人的血流乾。,Especialízate en usar armas blancas como cuchillos o machetes (no hachas) para desangrar a tus enemigos.
perkDeepCutsName,progression,perk Agi,,,Deep Cuts,,Tiefe Wunden,Cortes profundos,Entailles profondes,Tagli profondi,ディープカット,깊은 상처,Głębokie nacięcia,Cortes Profundos,Глубокие раны,Derin Kesikler,深度刀伤,深切口,Cortes profundos
perkDeadEyeRank2Desc,progression,perk Per,,,Rifleman,,Hobbyschütze,Fusilero,Fusilier,Fuciliere,ライフルマン,소총수,Karabinier,Fuzileiro,Стрелок,Tüfekli Er,步枪兵,步槍手,Fusilero
perkDeadEyeRank2LongDesc,progression,perk Per,,,"You are a rifleman and can hit a large rock at 30 yards. Craft quality 3 fair rifles. Deal 20% more damage, aim 20% faster, reload 15% faster, Craft a small magazine extender for the hunting rifle.",,"Du bist ein Hobbyschütze und kannst einen großen Stein auf 30 m Entfernung treffen. Fertige Gewehre von Qualität 3 (akzeptabel), verursache 20% mehr Schaden, ziele 20% schneller und lade 15% schneller nach.","Eres un fusilero y puedes alcanzar una roca grande a 30 yardas. Crea rifles de caza de calidad 3 justa. Inflige un 20 % más de daño, apunta un 20 % más rápido, recarga un 15 % más rápido.","Vous êtes un fusilier et savez tirer sur un gros rocher à une trentaine de mètres. Vous fabriquez des fusils ordinaires de qualité 3. Vous infligez 20 % de dégâts supplémentaires, visez 20 % plus vite, et rechargez 15 % plus rapidement.","Sei un fuciliere e puoi colpire una grossa roccia lontana 30 iarde. Crea fucili discreti di qualità 3. Infliggi il 20% di danni in più, prendi la mira più velocemente del 20%, ricarica più velocemente del 15%.",あなたはライフルマンで、30ヤード先の大きな岩を撃ち抜けます。品質レベル3の美しいライフルをクラフトします。+20%のダメージを与え、照準速度が20%アップし、リロード速度が15%アップ。,"소총수인 당신은 30 야드의 커다란 암석을 맞출 수 있습니다. 품질 3의 괜찮은 라이플을 제작합니다. 20% 추가 대미지, 20% 더 빠른 조준, 15% 더 빠른 재장전이 가능합니다.","Z karabinu trafisz duży kamień z 30 metrów. Wytwarzasz niezłe karabiny jakości 3. Zadajesz 20% więcej obrażeń, celujesz 20% szybciej i przeładowujesz 15% krócej.","Você é um fuzileiro e pode acertar uma pedra grande a 28 metros. Fabrique rifles razoáveis de qualidade 3. Causa 20% mais dano, mira 20% mais rápido e recarrega 15% mais rápido.","Вы стрелок и попадаете в большой камень с 27 метров. Вы создаете нормальные винтовки классом качества 3. Урон на 20% больше, прицеливание на 20% быстрее, перезарядка на 15% быстрее.","Tüfekli Er oldun, 27 metre mesafeden büyük bir kayayı vurabiliyorsun. Kalite 3 makul tüfekler üret. %20 daha fazla hasar ver, %20 daha hızlı nişan al, %15 daha hızlı doldur.",你是一名步枪兵，能在30码外打中一块大石头。能制作质量为3（一般）的步枪。造成的伤害增加20%，瞄准速度加快20%，装弹速度加快15%。,你是一名步槍手，可以擊中 30 碼開外的一塊大石頭。製作 3 把質量一般的步槍。增加 20% 的傷害值、20% 的瞄準速度和 15% 裝彈速度。,"Eres un fusilero y puedes alcanzar una roca grande a 30 yardas. Crea rifles de caza de calidad 3 justa. Inflige un 20 % más de daño, apunta un 20 % más rápido, recarga un 15 % más rápido."
perkDeadEyeRank3Desc,progression,perk Per,,,Marksman,,Schütze,Tirador,Tireur d'élite,Cecchino,マークスマン,명사수,Z karabinem za pan brat,Atirador,Искусный стрелок,Nişancı,神射手,射手,Tirador
perkDeadEyeRank3LongDesc,progression,perk Per,,,"You are now a marksman and can hold your own. Craft quality 4 good rifles. Deal 30% more damage , aim 32% faster, reload 20% faster and use 10% less stamina aiming with rifles, craft a larger magazine extender for the hunting rifle.\nKill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%.",,"Du bist ein Schütze und kannst selbst auf dich aufpassen. Fertige Gewehre von Qualität 4 (gut), verursache 30% mehr Schaden, ziele 32% schneller, lade 20% schneller nach und verringere die Ausdauerkosten für das Zielen mit Gewehren um 10%.\nKill-Serie: Aufeinanderfolgende Kills erhöhen deinen Schadensbonus um 10%, 20% und letztendlich 30%.","Ahora eres un tirador y sabes resistir. Crea rifles de calidad 4 buena. Inflige un 30 % más de daño, apunta un 32 % más rápido, recarga un 20 % más rápido y utiliza un 10% menos de resistencia al apuntar con rifles.\nRacha de muertes: Las muertes sucesivas aumentan la bonificación por daño un 10 %, 20 % hasta un máximo de 30 %.","Vous êtes désormais un tireur d'élite et êtes capable de vous défendre tout seul. Vous fabriquez des fusils corrects de qualité 4. Vous infligez 30 % de dégâts supplémentaires, visez 32 % plus vite, rechargez 20 % plus rapidement, et dépensez 10 % d'endurance en moins lorsque vous visez avec un fusil.\nSérie de victimes : Les éliminations successives augmentent les dégâts de 10 %, 20 % puis 30 % au maximum.","Ora sei un cecchino e sei in grado di difenderti. Crea fucili buoni di qualità 4. Infliggi il 30% di danni in più, prendi la mira più velocemente del 32%, ricarica più velocemente del 20% e usa il 10% in meno di vigore quando prendi la mira con i fucili.\nSerie di uccisioni: le uccisioni in serie aumentano i danni bonus del 10%, del 20%, fino a un massimo del 30%.",あなたはマークスマンで、自分で何とかできるレベル。品質レベル4の優れたライフルをクラフトします。+30%のダメージを与え、照準速度が32%アップし、リロード速度が20%アップ。ライフルでの照準時のスタミナ消費が10％減少します。\n連続キル:連続でキルすると、ダメージボーナスが10%、 20%、30%まで増加します。,"당신은 자신의 위치를 고수하는 명사수입니다. 품질 4의 좋은 라이플을 제작합니다. 30% 추가 대미지, 32% 더 빠른 조준, 20% 더 빠르게 재장전하고 라이플로 조준 시 스태미너가 10% 덜 소모됩니다. \n연속 처치: 연속적으로 적을 처치할 시 10%, 20%, 최대 30%까지 대미지 보너스가 증가합니다.","Nieźle radzisz sobie z karabinem. Wytwarzasz dobre karabiny jakości 4. Zadajesz 30% więcej obrażeń, celujesz 32% szybciej i przeładowujesz 20% krócej. Do tego zużywasz 10% wytrzymałości mniej, celując z karabinów.\nSeryjny zabójca: Kolejne zabójstwa zwiększają obrażenia o 10%, 20%, aż do 30%.","Você é um atirador hábil que sabe se virar. Fabrique rifles bons de qualidade 4. Causa 30% mais dano, mira 32% mais rápido e recarrega 20% mais rápido e usa 10% menos vigor ao mirar com rifles.\nAbates sequenciais: Os abates sequenciais aumentam o bônus do dano em 10%, 20% e 30%, no máximo.","Теперь вы искусный стрелок и можете за себя постоять. Вы создаете хорошие винтовки классом качества 4. Вы наносите на 30% больше урона, прицеливаетесь на 32% быстрее, перезаряжаете на 20% быстрее и тратите на 10% меньше выносливости, целясь из винтовки.\nСерия убийств: несколько убийств подряд увеличивают бонус урона на 10%, 20% и максимум 30%.","Artık bir nişancı oldun ve titremeden durabiliyorsun. Kalite 4 güzel tüfekler üret. Tüfekle nişan alırken %30 daha fazla hasar ver, %32 daha hızlı nişan al, %20 daha hızlı doldur ve %10 daha az dayanıklılık harca.\nÖldürme Serisi: Art arda öldürmeler hasar bonusunu %10, %20 ve en çok %30 artırır.",你现在是一名神射手，能够独当一面了。能制作质量为4（好）的步枪。造成的伤害增加30%，瞄准速度加快32%，装弹速度加快20%，用步枪瞄准时消耗的体力减少10%。\n连续击杀：连续击杀能使伤害额外增加10%、20%，最高至30%。,你現在是一名射手，能獨當一面。製作 4 把質量很好的步槍。增加 30% 的傷害值、32% 的瞄準速度和 20% 的裝彈速度，用步槍瞄準時消耗不到 10% 耐力。\n連殺：連續擊殺增加 10%、20% 到最大 30% 的傷害值獎勵。,"Ahora eres un tirador y sabes resistir. Crea rifles de calidad 4 buena. Inflige un 30 % más de daño, apunta un 32 % más rápido, recarga un 20 % más rápido y utiliza un 10% menos de resistencia al apuntar con rifles.\nRacha de muertes: Las muertes sucesivas aumentan la bonificación por daño un 10 %, 20 % hasta un máximo de 30 %."
perkDeadEyeRank4Desc,progression,perk Per,,,Sharpshooter,,Heckenschütze,Francotirador,Tireur expert,Tiratore scelto,狙撃手,일등사수,Wirtuoz karabinu,Franco-atirador,Орлиный глаз,Keskin Nişancı,神枪手,狙擊手,Francotirador
perkDeadEyeRank4LongDesc,progression,perk Per,,,"You are now a sharpshooter. Craft quality 5 great rifles. Deal 40% more damage, aim 45% faster, reload 25% faster, and use 20% less stamina aiming with rifles.\nKill Streak: Successive kills increase damage bonus by 20%, 30% to a maximum of 40%.",,"Du bist gefährlich wie ein Heckenschütze. Fertige Gewehre von Qualität 5 (hochwertig), verursache 40% mehr Schaden, ziele 45% schneller, lade 25% schneller nach und verringere die Ausdauerkosten für das Zielen mit Gewehren um 20%.\nKill-Serie: Aufeinanderfolgende Kills erhöhen deinen Schadensbonus um 20%, 30% und letztendlich 40%.","Ahora eres un francotirador. Crea 5 rifles de calidad 5 genial. Inflige un 40 % más de daño, apunta un 45 % más rápido, recarga un 25 % más rápido y utiliza un 20 % menos de resistencia al apuntar con rifles.\nRacha de muertes: Las muertes sucesivas aumentan la bonificación por daño un 20 %, 30 % hasta un máximo de 40 %.","Vous êtes désormais un vrai expert en tir. Vous fabriquez des fusils excellents de qualité 5. Vous infligez 40 % de dégâts supplémentaires, visez 45 % plus vite, rechargez 25 % plus rapidement, et dépensez 20 % d'endurance en moins lorsque vous visez avec un fusil.\nSérie de victimes : Les éliminations successives augmentent les dégâts de 20 %, 30 % puis 40 % au maximum.","Ora sei un tiratore scelto. Crea fucili ottimi di qualità 5. Infliggi il 40% di danni in più, prendi la mira più velocemente del 45%, ricarica più velocemente del 25% e usa il 20% in meno di vigore quando prendi la mira con i fucili.\nSerie di uccisioni: Le uccisioni in serie aumentano i danni bonus del 20%, del 30%, fino a un massimo del 40%.",あなたは狙撃手です。品質レベル5の素晴らしいライフルをクラフトします。+40%のダメージを与え、照準速度が45%アップし、リロード速度が25%アップ。ライフルでの照準時のスタミナ消費が20％減少します。\n連続キル:連続でキルすると、ダメージボーナスが20%、 30%、40%まで増加します。,"이제 당신은 일등사수가 되었습니다. 품질 5의 멋진 라이플을 제작합니다. 40% 추가 대미지, 45% 더 빠른 조준, 25% 더 빠르게 재장전하고 라이플로 조준 시 스태미너가 20% 덜 소모됩니다. \n연속 처치: 연속적으로 적을 처치할 시 20%, 30%, 최대 40%까지 대미지 보너스가 증가합니다.","Zasługujesz na miano wirtuoza karabinu. Wytwarzasz świetne karabiny jakości 5. Zadajesz 40% więcej obrażeń, celujesz 45% szybciej i przeładowujesz 25% krócej. Do tego zużywasz 20% wytrzymałości mniej, celując z karabinów.\nSeryjny zabójca: Kolejne zabójstwa zwiększają obrażenia o 20%, 30%, aż do 40%.","Agora você é um atirador de elite. Fabrique rifles ótimos de qualidade 5. Causa 40% mais dano, mira 45% mais rápido, recarrega 25% mais rápido e usa 20% menos vigor ao mirar com rifles.\nAbates sequenciais: Os abates sequenciais aumentam o bônus do dano em 20%, 30% e 40%, no máximo.","Вы получили умение «Орлиный глаз». Вы создаете отличные винтовки классом качества 5. Вы наносите на 40% больше урона, прицеливаетесь на 45% быстрее, перезаряжаете на 25% быстрее и тратите на 20% меньше выносливости, целясь из винтовки.\nСерия убийств: несколько убийств подряд увеличивают бонус урона на 20%, 30% и максимум 40%.","Artık bir keskin nişancısın. Kalite 5 harika tüfekler üret. Tüfekle nişan alırken %40 daha fazla hasar ver, %45 daha hızlı nişan al, %25 daha hızlı doldur ve %20 daha az dayanıklılık harca.\nÖldürme Serisi: Art arda öldürmeler hasar bonusunu %20, %30 ve en çok %40 artırır.",你现在是一名神枪手了。能制作质量为5（优秀）的步枪。造成的伤害增加40%，瞄准速度加快45%，装弹速度加快25%，用步枪瞄准时消耗的体力减少20%。\n连续击杀：连续击杀能使伤害额外增加20%、30%，最高至40%。,你現在是一名狙擊手。製作 5 把質量上乘的步槍。增加 40% 的傷害值、45% 的瞄準速度和 25% 裝彈速度，用步槍瞄準時消耗不到 20% 耐力。\n連殺：連續擊殺增加 20%、30% 到最大 40% 的傷害值獎勵。,"Ahora eres un francotirador. Crea 5 rifles de calidad 5 genial. Inflige un 40 % más de daño, apunta un 45 % más rápido, recarga un 25 % más rápido y utiliza un 20 % menos de resistencia al apuntar con rifles.\nRacha de muertes: Las muertes sucesivas aumentan la bonificación por daño un 20 %, 30 % hasta un máximo de 40 %."
perkDeadEyeRank5Desc,progression,perk Per,,,Dead Eye,,Präzisionsschütze,Ojo muerto,Précis,Occhio di falco,射撃の名手,저격의 명수,Strzelec wyborowy,Certeiro,Безжалостный снайпер,İyi Nişancı,死神之眼,神槍手,Ojo muerto
perkDeadEyeRank5LongDesc,progression,perk Per,,,"Dead Eye: Through all the hard training and countless shooting, you are now a dead eye sniper. Deal 50% more damage, aim 60% faster, reload 30% faster, and use 30% less stamina aiming with rifles, craft Lever action rifle.\nKill Streak: Successive kills increase damage bonus by 30%, 40% up to a maximum of 50%.",,"Präzisionsschütze: Nach all dem harten Training und zahllosen Schüssen bist du ein begabter Präzisionsschütze. Verursache 50% mehr Schaden, ziele 60% schneller, lade 30% schneller nach und verringere die Ausdauerkosten für das Zielen mit Gewehren um 30%.\nKill-Serie: Aufeinanderfolgende Kills erhöhen deinen Schadensbonus um 30%, 40% und letztendlich 50%.","Ojo Muerto: A través de todo el duro entrenamiento y los innumerables disparos, ahora eres un francotirador a ojo muerto. Inflige un 50 % más de daño, apunta un 60 % más rápido, recarga un 30 % más rápido y utiliza un 30 % menos de resistencia al apuntar con rifles.\nRacha de muertes: Las muertes sucesivas aumentan la bonificación por daños en un 30 %, 40 % hasta un máximo de 50 %.","Précis : À force d'entraînements et de séances de tir, vous êtes désormais un sniper dévastateur. Vous infligez 50 % de dégâts supplémentaires, visez 60 % plus vite, rechargez 30 % plus rapidement, et dépensez 30 % d'endurance en moins lorsque vous visez avec un fusil.\nSérie de victimes : Les éliminations successives augmentent les dégâts de 30 %, 40 % puis 50 % au maximum.","Occhio di falco: Grazie ai duri allenamenti e agli innumerevoli colpi sparati, adesso sei un cecchino dall'occhio di falco. Infliggi il 50% di danni in più, prendi la mira più velocemente del 60%, ricarica più velocemente del 30% e usa il 30% in meno di vigore quando prendi la mira con i fucili.\nSerie di uccisioni: Le uccisioni in serie aumentano i danni bonus del 30%, del 40%, fino a un massimo del 50%.",射撃の名手:厳しい訓練と数え切れない数の射撃経験を通して、射撃の名手になりました。+50%のダメージを与え、照準速度が60%アップし、リロード速度が30%アップ。ライフルでの照準時のスタミナ消費が30%減少します。\n連続キル:連続でキルすると、ダメージボーナスが30%、 40%、50%まで増加します。,"저격의 명수: 혹독한 훈련과 셀 수 없는 사격을 통해 당신은 진정한 저격의 명수가 되었습니다. 50% 추가 대미지, 60% 더 빠른 조준, 30% 더 빠르게 재장전하고 라이플로 조준 시 스태미너가 30% 덜 소모됩니다. \n연속 처치: 연속적으로 적을 처치할 시 30%, 40%, 최대 50%까지 대미지 보너스가 증가합니다.","Strzelec wyborowy: Długie godziny ćwiczeń i góry wystrzelanej amunicji uczyniły z ciebie legendę karabinu. Zadajesz 50% więcej obrażeń, celujesz 60% szybciej i przeładowujesz 30% krócej. Do tego zużywasz 30% wytrzymałości mniej, celując z karabinów.\nSeryjny zabójca: Kolejne zabójstwa zwiększają obrażenia o 30%, 40% i maksymalnie o 50%.","Certeiro: Depois de tanto treinar e atirar, você se tornou um atirador de elite de primeira linha. Causa 50% mais dano, mira 60% mais rápido, recarrega 30% mais rápido e usa 30% menos vigor ao mirar com rifles.\nAbates sequenciais: Os abates sequenciais aumentam o bônus do dano em 30%, 40% e 50%, no máximo.","Безжалостный снайпер: Тяжелые тренировки и бесконечная стрельба сделали из вас безжалостного снайпера. Вы наносите на 50% больше урона, прицеливаетесь на 60% быстрее, перезаряжаете на 30% быстрее и тратите на 30% меньше выносливости, целясь из винтовки.\nСерия убийств: несколько убийств подряд увеличивают бонус урона на 30%, 40% и максимум 50%.","İyi Nişancı: Yoğun çalışmalar ve sayısız atıştan sonra iyi nişancı unvanını hak ediyorsun. Tüfekle nişan alırken %50 daha fazla hasar ver, %60 daha hızlı nişan al, %30 daha hızlı doldur ve %30 daha az dayanıklılık harca.\nÖldürme Serisi: Art arda öldürmeler hasar bonusunu %30, %40 ve en çok %50 artırır.",死神之眼：经过刻苦的训练和无数次射击，你现在成为了一名死神一样的狙击手。造成的伤害增加50%，瞄准速度加快60%，装弹速度加快30%，用步枪瞄准时消耗的体力减少30%。\n连续击杀：连续击杀能使伤害额外增加30%、40%，最高至50%。,神槍手：經過所有艱苦的訓練和無數次射擊，你現在成爲了一名神槍手。增加 50% 的傷害值、60% 的瞄準速度和 30% 裝彈速度，用步槍瞄準時消耗不到 30% 耐力。\n連殺：連續擊殺增加 30%、40% 到最大 50% 的傷害值獎勵。,"Ojo Muerto: A través de todo el duro entrenamiento y los innumerables disparos, ahora eres un francotirador a ojo muerto. Inflige un 50 % más de daño, apunta un 60 % más rápido, recarga un 30 % más rápido y utiliza un 30 % menos de resistencia al apuntar con rifles.\nRacha de muertes: Las muertes sucesivas aumentan la bonificación por daños en un 30 %, 40 % hasta un máximo de 50 %."
